Unnamed: 0,agencyId,surfaceLiving,numberRooms,city,advertisementId,geo,geoLocation,price,norm_price,neighborhood_price,realvalue,Lon,Lat,disco,kids
7022,i338,838.0,,Duggingen,105996109,2881,"7.6065559,47.4545943",5150000.0,6145.58472554,7945.03544805,-0.156250197674,7.6065559,47.4545943,-0.804258808707,-0.994294252745
7025,sw251,109.0,4.5,Dugny (Leytron),104285134,1671,"7.1797111,46.1875374",550000.0,5045.87155963,6989.01763074,-0.136286413139,7.1797111,46.1875374,0.294360545083,0.221705386897
7034,s904,97.0,3.5,Dulliken,105982902,3847,"7.9465270,47.3531150",330000.0,3402.06185567,6225.49371343,-0.0139871463536,7.946527,47.353115,-1.18273103483,-1.30701281559
7035,i169idx,75.0,3.5,Dulliken,105898542,3833,"7.9428119,47.3503340",375000.0,5000.0,7957.32053557,0.00461418445978,7.9428119,47.350334,-1.18141544207,-1.30692489926
7037,i169idx,112.0,5.5,Dulliken,105957963,3831,"7.9426541,47.3532400",448000.0,4000.0,10314.2199954,0.470992659305,7.9426541,47.35324,-1.179826133,-1.30542052666
7038,i169idx,140.0,5.5,Dulliken,105855934,3847,"7.9465270,47.3531150",449000.0,3207.14285714,6225.49371343,0.0130932075088,7.946527,47.353115,-1.18273103483,-1.30701281559
7039,e151,181.0,5.0,Dulliken,105952467,3869,"7.9546600,47.3524800",485000.0,2679.55801105,6827.22337057,0.169990362741,7.95466,47.35248,-1.18898084915,-1.31044581347
7040,s928,109.0,4.5,Dulliken,105175998,3847,"7.9465270,47.3531150",490000.0,4495.41284404,6225.49371343,-0.165887842974,7.946527,47.353115,-1.18273103483,-1.30701281559
7041,hgol,154.0,5.5,Dulliken,105978705,3859,"7.9499526,47.3510762",495000.0,3214.28571429,6285.09074691,0.0203807354944,7.9499526,47.3510762,-1.18626684765,-1.30935154737
7042,f438,142.0,6.5,Dulliken,105899133,3831,"7.9426541,47.3532400",550000.0,3873.23943662,10314.2199954,0.488603671767,7.9426541,47.35324,-1.179826133,-1.30542052666
7043,p006,120.0,4.5,Dulliken,105397330,3823,"7.9407826,47.3516303",560000.0,4666.66666667,5573.51381922,-0.280260790362,7.9407826,47.3516303,-1.17926856075,-1.30547336271
7044,e158,137.0,4.5,Dulliken,105840193,3808,"7.9335285,47.3535340",649000.0,4737.22627737,6887.77924624,-0.107471098945,7.9335285,47.353534,-1.17293345619,-1.3015486951
7045,f438,130.0,9.5,Dulliken,105503081,3835,"7.9434425,47.3540370",700000.0,5384.61538462,6214.28571429,-0.290983068279,7.9434425,47.354037,-1.1799972625,-1.30533427863
7046,n135,119.0,,Dulliken,106009978,3825,"7.9413265,47.3510642",782000.0,6571.42857143,10884.9485115,0.193032758635,7.9413265,47.3510642,-1.1799553806,-1.30597201182
7047,e158,215.0,5.5,Dulliken,105823169,3821,"7.9400767,47.3518586",865000.0,4023.25581395,9145.39604191,0.305375443039,7.9400767,47.3518586,-1.178632742,-1.30507559715
7048,s928a,183.0,6.5,Dulliken,105969390,3824,"7.9411540,47.3485424",950000.0,5191.2568306,8519.99386008,0.0562155684251,7.941154,47.3485424,-1.18109330338,-1.30713832282
7052,b368,156.0,5.5,Dully,105967075,348,"6.2971100,46.4322040",950000.0,6089.74358974,7239.95387106,-0.246450029514,6.29711,46.432204,1.54693032623,1.39457841442
7062,rel,134.0,5.5,Dürnten,106008486,7819,"8.8420009,47.2790269",835000.0,6231.34328358,8827.34204793,-0.0455847263541,8.8420009,47.2790269,-1.15582685451,-0.975218669988
7070,f417,179.0,6.5,Dürrenäsch,105977802,4466,"8.1569320,47.3214170",1025000.0,5726.25698324,5774.66870783,-0.399524357961,8.156932,47.321417,-1.33422498522,-1.37054371616
7073,c347x,164.0,5.5,Ebersol,105881790,9299,"9.1529891,47.3497525",650000.0,3963.41463415,4772.72727273,-0.293811389185,9.1529891,47.3497525,-0.720796934721,-0.479237942828
7074,x532,174.0,5.5,Ebertswil,105914987,6239,"8.5495260,47.2268400",1160000.0,6666.66666667,6954.02298851,-0.366327469531,8.549526,47.22684,-1.41071123053,-1.2755721961
7075,x532,174.0,5.5,Ebertswil,105914992,6239,"8.5495260,47.2268400",1190000.0,6839.08045977,6954.02298851,-0.390281145485,8.549526,47.22684,-1.41071123053,-1.2755721961
7076,x532,174.0,5.5,Ebertswil,105914990,6239,"8.5495260,47.2268400",1190000.0,6839.08045977,6954.02298851,-0.390281145485,8.549526,47.22684,-1.41071123053,-1.2755721961
7077,x532,174.0,5.5,Ebertswil,105914988,6239,"8.5495260,47.2268400",1210000.0,6954.02298851,6954.02298851,-0.406250262787,8.549526,47.22684,-1.41071123053,-1.2755721961
7083,nhpk,135.0,5.5,Ebikon,105971318,5387,"8.3572856,47.0849551",850000.0,6296.2962963,9452.02943863,0.0321799099275,8.3572856,47.0849551,-1.390318357,-1.33159297404
